offerPrice,egc,html,highTech,age,nUnderwriters,sharesOfferedPerc,totalProceeds,investmentReceived,commonEquity,nasdaq2weeksBefore,blueSky,managementFee,commonEquity.1,bookValue,totalAssets,totalRevenue,netIncome,roa,leverage,vc,pe,prominence,nVCs,nExecutives,priorFinancing,reputationLeadMax,reputationLeadAvg,reputationSum,reputationAvg,nPatents,year>good_return,year>super_return,interaction>super_return_w_reputationAvg,log_age,city>super_return,city>good_return,city>low_return,"industryFF12>Business Equipment -- Computers, Software, and Electronic Equipment",industryFF12>Chemicals and Allied Products,"industryFF12>Consumer Durables -- Cars, TV's, Furniture, Household Appliances","industryFF12>Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",industryFF12>Finance,"industryFF12>Healthcare, Medical Equipment, and Drugs","industryFF12>Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing","industryFF12>Oil, Gas, and Coal Extraction and Products",industryFF12>Other,industryFF12>Telephone and Television Transmission,industryFF12>Utilities,"industryFF12>Wholesale, Retail, and Some Services (Laundries, Repair Shops)",exchange>AMEX,exchange>NASDQ,exchange>NYSE,"industryFF5>Business Equipment, Telephone and Television Transmission","industryFF5>Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)","industryFF5>Healthcare, Medical Equipment, and Drugs","industryFF5>Manufacturing, Energy, and Utilities",industryFF5>Other,rf>IT,rf>indebtedness,rf>reimbursement,rf>default,rf>trial,rf>patRatio,log_totalAssets,log_totalRevenue,log_priorFinancing,log_reputationSum
5.0,False,True,True,16.0,1,25.11,10000000,366280.47364901076,0.6809999999999999,3049.41,12705.26168224299,2255040.043671403,100.0,-40.42763240000001,13.023,27.528000000000002,-0.523,-0.04015971742302081,0.0,False,False,False,5.225149791589722,11.159625318759527,180202.63010395446,3.0010000000000003,3.0010000000000003,3.0010000000000003,3.0010000000000003,4,1,0,0.0,2.8332133440562166,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.03767048282727725,7.061722954314645,6.135941362827669,12.101842768814482,1.3865443298750981
11.0,False,True,False,95.0,4,28.64,58928573,20000.0,0.131,2187.33,12705.26168224299,2606525.413979779,92.95,182.01751446195212,1082.1130691319904,173.74579482187656,0.21750297590398104,-0.013407633385935987,0.31399610271348394,False,True,False,1.0,5.0,20000.0,7.001,7.001,19.003,4.75075,0,0,0,0.0,4.564348191467836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.018497979878000483,0.0,0.0,0.0,0.0,7.712239542429314,6.410819012483471,9.90353755128617,2.995882262305116
14.0,False,True,False,23.0,5,51.95,140000000,328022.1512590413,-0.6996495437406884,2383.67,15000.0,2915971.2810479314,13.48,6.402882600000001,163.453,343.025,-1.23,-0.007525098958110281,0.2508366319370094,False,True,False,3.0,10.0,100000.0,7.001,6.501,25.004,5.0008,0,0,0,0.0,3.1780538303479458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.01846628354510466,0.0,0.0,0.0,0.0,7.183022996941859,6.656303507586562,11.51293546492023,3.2582503723422223
13.5,False,True,False,2.0,9,15.38,175500000,715000.0,0.758,2378.7,5000.0,2369250.0,78.48,1210.4835246,2103.7729999999997,564.109,167.922,0.07981944820092281,0.125911398235456,False,True,False,2.0,16.0,715000.0,9.001,8.501,31.004,3.444888888888889,0,0,0,0.0,1.0986122886681098,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,8.08862418618522,6.906509465969851,13.480039220276565,3.4658608949878777
30.0,False,True,True,28.0,11,27.77,540000000,1206952.0,-0.915,2060.57,12705.26168224299,6480000.0,73.61296462793594,727.495564029063,3934.3724532440706,1953.0790157832325,51.93112996845746,-0.15843120159672242,0.2304673002917593,False,True,True,11.0,16.0,1206952.0,9.001,9.001,72.009,6.5462727272727275,40,0,0,0.0,3.3672958299864737,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.09433581124757597,0.3276333789329685,0.17322929171668666,0.007609532362563345,0.21766706682673065,8.534601313819845,7.77809629973684,14.003609559802037,4.290582721220324
16.0,False,True,False,3.0,5,33.84,164800000,1452319.0,-1.0095598991841164,2441.23,12705.26168224299,2302628.7165395184,95.33,200.238548,249.062,163.511,-6.037999999999999,-0.02424295958436052,0.03957247592968819,True,False,False,2.0,11.0,12319.0,9.001,4.5005,21.003,4.2006,0,0,0,0.0,1.3862943611198906,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.17326242888943855,0.0,0.0883785025264125,0.0,0.0,7.246006062306664,6.393853198924629,9.41897923708751,3.091178807698004
15.0,False,False,True,4.0,11,7.88,44130000,127585.1,-0.5489999999999999,3825.56,5000.0,617820.0,97.88,209.86790950000002,284.76599999999996,116.891,1.175,0.0041261948406762046,0.0007866107611161444,True,False,True,20.0,12.0,127585.1,9.001,9.001,78.01100000000001,7.09190909090909,0,0,1,7.09190909090909,1.6094379124341005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,7.271144955232946,6.31270885855209,11.75654670978979,4.369587083280291
21.0,False,True,False,0.0,52,86.95,388500000,391960.9188057252,-0.5915709968018543,1438.25,2500.0,4995000.0,100.0,656.7647453721991,3981.5629001049683,1564.2491602618181,52.44364790348812,-0.0023860076305500452,0.32269421627023165,False,False,False,3.2489480382811893,11.242997265869215,245292.15197159763,7.375,7.375,340.1509999999998,6.541365384615381,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,8.543833774954308,7.6003498683679,12.410209312904582,5.832325194519044
15.0,False,False,False,36.0,18,31.79,80370000,68388.2,-1.2,1429.33,5000.0,1178760.0,50.24,-112.09499,97.05,307.21299999999997,1.7830000000000001,0.01837197320968573,0.5988356517259146,False,True,False,8.0,10.0,68388.20000000001,9.001,9.001,118.01700000000001,6.556500000000002,0,0,0,0.0,3.610917912644224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.01837810893063281,0.0,0.028123172870785418,0.0,0.0,7.131282901297884,6.609159147864003,11.132970196407113,4.779266340051277
8.0,False,False,False,3.0,11,25.01,16000000,217429.2252769827,0.027999999999999997,1270.5,1000.0,240000.0,80.52,186.91915030671586,1342.3486619688165,178.42330112045696,4.443543032370742,0.01875668586840751,0.28787207224401257,False,False,False,2.0087830336785846,11.506297278487327,102297.91664766107,5.001,5.001,60.88,5.534545454545455,0,0,0,0.0,1.3862943611198906,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.17250448296473403,0.0,0.0,7.822356120966995,6.4184779210882885,11.535654361929206,4.125197025704866
